#,Transaction Date,Senator,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment,URL
20,12/09/2014,The Honorable Thad Cochran (Former Senator),Self,EMLC,Market Vectors EM Local Currency Bd ETF (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
19,01/09/2015,The Honorable Thad Cochran (Former Senator),Self,EMB,iShares JPMorgan USD Emerg Markets Bond (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
18,12/09/2014,The Honorable Thad Cochran (Former Senator),Self,IWF,iShares Russell 1000 Growth (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
17,12/09/2014,The Honorable Thad Cochran (Former Senator),Self,IWM,iShares Russell 2000 (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
16,12/09/2014,The Honorable Thad Cochran (Former Senator),Self,IWD,iShares Russell 1000 Value (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
15,12/09/2014,The Honorable Thad Cochran (Former Senator),Self,EEM,iShares MSCI Emerging Markets (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
14,12/09/2014,The Honorable Thad Cochran (Former Senator),Self,EFA,iShares MSCI EAFE (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
13,12/09/2014,The Honorable Thad Cochran (Former Senator),Self,AGG,iShares Core US Aggregate Bond (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
12,12/09/2014,The Honorable Thad Cochran (Former Senator),Self,QAI,IQ Hedge Multi-Strategy Tracker ETF (NYSEArca),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
11,12/15/2014,The Honorable Thad Cochran (Former Senator),Self,VGRAX,Invesco Mid Cap Growth A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
10,12/15/2014,The Honorable Thad Cochran (Former Senator),Self,ACEIX,Invesco Equity and Income A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
9,12/22/2014,The Honorable Thad Cochran (Former Senator),Self,RAD,Rite Aid Corporation (NYSE),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
8,12/18/2014,The Honorable Thad Cochran (Former Senator),Self,WCC,WESCO International Inc. (NYSE),Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
7,12/18/2014,The Honorable Thad Cochran (Former Senator),Self,VPFG,"ViewPoint Financial Group, Inc. (NASDAQ)",Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
6,12/17/2014,The Honorable Thad Cochran (Former Senator),Self,GE,General Electric Company (NYSE),Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
5,12/17/2014,The Honorable Thad Cochran (Former Senator),Self,STE,Steris Corp. (NYSE),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
4,12/17/2014,The Honorable Thad Cochran (Former Senator),Self,VILLX,Villere Balanced Inv (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
3,12/12/2014,The Honorable Thad Cochran (Former Senator),Self,RXN,Rexnord Corporation (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
2,12/12/2014,The Honorable Thad Cochran (Former Senator),Self,PNR,Pentair plc (NYSE),Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
1,12/05/2014,The Honorable Thad Cochran (Former Senator),Self,STE,Steris Corp. (NYSE),Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/897ffa98-4706-4096-b254-4b1065fb9bc2/
8,11/23/2015,The Honorable Thad Cochran (Former Senator),Self,--,TEVA Teva Pharmaceutical Industries Ltd. ADR (Israel),Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/5659861d-34b7-4890-8351-de44b629bfd9/
7,11/17/2015,The Honorable Thad Cochran (Former Senator),Self,--,LAZ Lazard Limited Shares A (Bermuda),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/5659861d-34b7-4890-8351-de44b629bfd9/
6,11/12/2015,The Honorable Thad Cochran (Former Senator),Self,--,AMAT Applied Materials,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/5659861d-34b7-4890-8351-de44b629bfd9/
5,11/11/2015,The Honorable Thad Cochran (Former Senator),Self,--,DD DuPont E. I. DeNemours & Co..,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/5659861d-34b7-4890-8351-de44b629bfd9/
4,11/09/2015,The Honorable Thad Cochran (Former Senator),Self,--,BURFX Burnham Financial Long/Short Fund Class A Mutual Fund,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/5659861d-34b7-4890-8351-de44b629bfd9/
3,11/02/2015,The Honorable Thad Cochran (Former Senator),Self,--,KNX Knight Transportation Inc.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/5659861d-34b7-4890-8351-de44b629bfd9/
2,10/29/2015,The Honorable Thad Cochran (Former Senator),Self,--,MSM MSC Indl Direct Inc. Class A,Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/5659861d-34b7-4890-8351-de44b629bfd9/
1,10/29/2015,The Honorable Thad Cochran (Former Senator),Self,--,AXE Anixter International Inc.,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/5659861d-34b7-4890-8351-de44b629bfd9/
14,06/22/2017,The Honorable Thad Cochran (Former Senator),Self,STE,Steris Plc,Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
13,06/21/2017,The Honorable Thad Cochran (Former Senator),Self,MKC,"McCormick & Company, Incorporated",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
12,06/20/2017,The Honorable Thad Cochran (Former Senator),Self,ETP,"Energy Transfer Partners, L.P.",Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
11,06/19/2017,The Honorable Thad Cochran (Former Senator),Self,MWA,"Mueller Water Products, Inc.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
10,06/16/2017,The Honorable Thad Cochran (Former Senator),Self,FTV,Fortive Corporation,Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
9,06/16/2017,The Honorable Thad Cochran (Former Senator),Self,BGS,"B&G Foods, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
8,06/14/2017,The Honorable Thad Cochran (Former Senator),Self,ETP,"Energy Transfer Partners, L.P.",Stock,Sale (Partial),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
7,06/13/2017,The Honorable Thad Cochran (Former Senator),Self,ICHR,"Ichor Holdings, Ltd.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
6,06/13/2017,The Honorable Thad Cochran (Former Senator),Self,ZTS,Zoetis Inc.,Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
5,06/13/2017,The Honorable Thad Cochran (Former Senator),Self,MDLZ,"Mondelez International, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
4,06/09/2017,The Honorable Thad Cochran (Former Senator),Self,SEP,"Spectra Energy Partners, LP",Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
3,06/02/2017,The Honorable Thad Cochran (Former Senator),Self,CELG,Celgene Corporation,Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
2,05/30/2017,The Honorable Thad Cochran (Former Senator),Self,TEVA,Teva Pharmaceutical Industries Limited,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
1,05/26/2017,The Honorable Thad Cochran (Former Senator),Self,MET,"MetLife, Inc.",Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3013e19a-0898-4f73-8d61-ebf9fccc3ead/
9,11/30/2016,The Honorable Thad Cochran (Former Senator),Self,--,IWD-iShares Russell 1000 Value,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
8,12/20/2016,The Honorable Thad Cochran (Former Senator),Self,AIV,Apartment Investment and Management Company,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
7,12/14/2016,The Honorable Thad Cochran (Former Senator),Self,SEE,Sealed Air Corporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
6,12/14/2016,The Honorable Thad Cochran (Former Senator),Self,SLM,SLM Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
5,12/13/2016,The Honorable Thad Cochran (Former Senator),Self,SEE,Sealed Air Corporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
4,12/12/2016,The Honorable Thad Cochran (Former Senator),Self,SLM,SLM Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
3,11/30/2016,The Honorable Thad Cochran (Former Senator),Self,NEE-PRI,NEE-PRI,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
2,11/30/2016,The Honorable Thad Cochran (Former Senator),Self,TSCO,Tractor Supply Company,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
1,11/29/2016,The Honorable Thad Cochran (Former Senator),Self,AIV,Apartment Investment and Management Company,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/54f40a74-4016-49ab-bf0a-3f42953cfb33/
14,01/27/2015,The Honorable Thad Cochran (Former Senator),Self,QCOM,QUALCOMM Incorporated (NASDAQ),Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
13,01/23/2015,The Honorable Thad Cochran (Former Senator),Self,CG,The Carlyle Group LP (NASDAQ),Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
12,01/21/2015,The Honorable Thad Cochran (Former Senator),Self,AHT,"Ashford Hospitality Trust, Inc. (NYSE)",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
11,01/21/2015,The Honorable Thad Cochran (Former Senator),Self,HCN,"Health Care REIT, Inc. (NYSE)",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
10,01/20/2015,The Honorable Thad Cochran (Former Senator),Self,BECN,"Beacon Roofing Supply, Inc. (NASDAQ)",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
9,01/19/2015,The Honorable Thad Cochran (Former Senator),Self,RAD,Rite Aid Corporation (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
8,01/08/2015,The Honorable Thad Cochran (Former Senator),Self,FOE,Ferro Corporation (NYSE),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
7,01/05/2015,The Honorable Thad Cochran (Former Senator),Self,AJG,Arthur J Gallagher & Co. (NYSE),Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
6,01/05/2015,The Honorable Thad Cochran (Former Senator),Self,WBA,"Walgreens Boots Alliance, Inc. (NASDAQ)",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
5,01/05/2015,The Honorable Thad Cochran (Former Senator),Self,BDX,"Becton, Dickinson and Company (NYSE)",Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
4,12/30/2014,The Honorable Thad Cochran (Former Senator),Self,LTXB,LegacyTexas Financial Group Inc. (NASDAQ),Stock,Exchange,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
3,12/30/2014,The Honorable Thad Cochran (Former Senator),Self,VPFG,"ViewPoint Financial Group, Inc. (NASDAQ)",Stock,Exchange,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
2,12/30/2014,The Honorable Thad Cochran (Former Senator),Self,HCN,"Health Care REIT, Inc. (NYSE)",Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
1,12/29/2014,The Honorable Thad Cochran (Former Senator),Self,BURFX,Burnham Financial Long/Short A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6572daef-0887-4ff5-963d-ecb9c9efdc08/
6,07/31/2015,The Honorable Thad Cochran (Former Senator),Self,CR,Crane Co. (NYSE),Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/1f28bdc1-e00b-4aa0-83a0-1bd2bb88069c/
5,07/28/2015,The Honorable Thad Cochran (Former Senator),Self,APO,"Apollo Global Management, LLC (NYSE)",Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/1f28bdc1-e00b-4aa0-83a0-1bd2bb88069c/
4,07/22/2015,The Honorable Thad Cochran (Former Senator),Self,KSU,Kansas City Southern (NYSE),Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/1f28bdc1-e00b-4aa0-83a0-1bd2bb88069c/
3,07/17/2015,The Honorable Thad Cochran (Former Senator),Self,BURFX,Burnham Financial Long/Short A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/1f28bdc1-e00b-4aa0-83a0-1bd2bb88069c/
2,07/16/2015,The Honorable Thad Cochran (Former Senator),Self,--,KHC-The Kraft Heinz Company (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/1f28bdc1-e00b-4aa0-83a0-1bd2bb88069c/
1,07/15/2015,The Honorable Thad Cochran (Former Senator),Self,OAKIX,Oakmark International I (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/1f28bdc1-e00b-4aa0-83a0-1bd2bb88069c/
9,04/25/2016,The Honorable Thad Cochran (Former Senator),Self,NOK,Nokia Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
8,04/22/2016,The Honorable Thad Cochran (Former Senator),Self,BGG,Briggs & Stratton Corporation,Stock,Sale (Full),"$250,001 - $500,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
7,04/20/2016,The Honorable Thad Cochran (Former Senator),Self,KSS,Kohl's Corp.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
6,04/19/2016,The Honorable Thad Cochran (Former Senator),Self,WMFFX,American Funds Washington Mutual F2,Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
5,04/07/2016,The Honorable Thad Cochran (Former Senator),Self,LAZ,Lazard Ltd.,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
4,04/06/2016,The Honorable Thad Cochran (Former Senator),Self,GEL,Genesis Energy LP,Stock,Purchase,"$50,001 - $100,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
3,04/05/2016,The Honorable Thad Cochran (Former Senator),Self,D,"Dominion Resources, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
2,03/31/2016,The Honorable Thad Cochran (Former Senator),Self,GEL,Genesis Energy LP,Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
1,03/29/2016,The Honorable Thad Cochran (Former Senator),Self,MDLZ,"Mondelez International, Inc.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/d3af0603-2e86-4803-98d3-0dcb137c9b36/
14,02/24/2016,The Honorable Thad Cochran (Former Senator),Self,QAI,IQ Hedge Multi-Strategy Tracker ETF,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
13,02/24/2016,The Honorable Thad Cochran (Former Senator),Self,AGG,iShares Core US Aggregate Bond,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
12,02/24/2016,The Honorable Thad Cochran (Former Senator),Self,EMB,iShares JPMorgan USD Emerg Markets Bond,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
10,02/18/2016,The Honorable Thad Cochran (Former Senator),Self,CG,The Carlyle Group LP,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
9,02/12/2016,The Honorable Thad Cochran (Former Senator),Self,IR,Ingersoll-Rand Plc,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
8,02/08/2016,The Honorable Thad Cochran (Former Senator),Self,CVS,CVS Health Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
7,02/03/2016,The Honorable Thad Cochran (Former Senator),Self,VILLX,Villere Balanced Inv,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
6,02/02/2016,The Honorable Thad Cochran (Former Senator),Self,TEVA,Teva Pharmaceutical Industries Limited,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
5,02/02/2016,The Honorable Thad Cochran (Former Senator),Self,AMAT,"Applied Materials, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
4,02/02/2016,The Honorable Thad Cochran (Former Senator),Self,AXE,Anixter International Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
3,02/01/2016,The Honorable Thad Cochran (Former Senator),Self,D,"Dominion Resources, Inc.",Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
2,01/29/2016,The Honorable Thad Cochran (Former Senator),Self,AXE,Anixter International Inc.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
1,01/27/2016,The Honorable Thad Cochran (Former Senator),Self,ZION,Zions Bancorporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/903d3c5c-f030-442b-928b-69dc65068100/
8,07/18/2016,The Honorable Thad Cochran (Former Senator),Self,CG,The Carlyle Group LP,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/79c1454f-80f1-4c55-a50b-857116f693a0/
7,07/15/2016,The Honorable Thad Cochran (Former Senator),Self,RAD,Rite Aid Corporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/79c1454f-80f1-4c55-a50b-857116f693a0/
6,07/11/2016,The Honorable Thad Cochran (Former Senator),Self,PFG,Principal Financial Group Inc.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/79c1454f-80f1-4c55-a50b-857116f693a0/
5,07/12/2016,The Honorable Thad Cochran (Former Senator),Self,SXL,Sunoco Logistics Partners L.P.,Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/79c1454f-80f1-4c55-a50b-857116f693a0/
4,07/11/2016,The Honorable Thad Cochran (Former Senator),Self,VOYA,"Voya Financial, Inc.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/79c1454f-80f1-4c55-a50b-857116f693a0/
3,07/08/2016,The Honorable Thad Cochran (Former Senator),Self,PDCO,"Patterson Companies, Inc.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/79c1454f-80f1-4c55-a50b-857116f693a0/
2,07/08/2016,The Honorable Thad Cochran (Former Senator),Self,SYRG,Synergy Resources Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/79c1454f-80f1-4c55-a50b-857116f693a0/
1,07/05/2016,The Honorable Thad Cochran (Former Senator),Self,FTV,Fortive Corporation,Stock,Exchange,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/79c1454f-80f1-4c55-a50b-857116f693a0/
10,12/21/2015,The Honorable Thad Cochran (Former Senator),Self,AMAT,"Applied Materials, Inc.",Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
9,12/21/2015,The Honorable Thad Cochran (Former Senator),Self,GEL,Genesis Energy LP,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
8,12/21/2015,The Honorable Thad Cochran (Former Senator),Self,VILLX,Villere Balanced Inv,Stock,Purchase,"$1,001 - $15,000",This is a capital gain reinvestment.,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
7,12/18/2015,The Honorable Thad Cochran (Former Senator),Self,ASH,Ashland Inc.,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
6,12/16/2015,The Honorable Thad Cochran (Former Senator),Self,WSHFX,American Funds Washington Mutual F1,Stock,Purchase,"$100,001 - $250,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
5,12/16/2015,The Honorable Thad Cochran (Former Senator),Self,ABT,Abbott Laboratories,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
4,12/15/2015,The Honorable Thad Cochran (Former Senator),Self,BX,The Blackstone Group L.P.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
3,12/09/2015,The Honorable Thad Cochran (Former Senator),Self,TLLP,Tesoro Logistics LP,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
2,12/08/2015,The Honorable Thad Cochran (Former Senator),Self,TLLP,Tesoro Logistics LP,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
1,12/03/2015,The Honorable Thad Cochran (Former Senator),Self,KNX,Knight Transportation Inc.,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/e688c39b-cf76-49b3-a08e-b3989cef64ae/
23,01/17/2017,The Honorable Thad Cochran (Former Senator),Self,MDY,SPDR S&P MidCap 400 ETF,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/162eb5ab-a98b-47cd-9bf7-11603def5488/
